[0715/142623:ERROR:process_info.cc(330)] VirtualQueryEx: Acceso denegado. (0x5)
[0715/142623:ERROR:process_info.cc(547)] ReadMemoryInfo failed
[0715/142623:ERROR:process_info.cc(608)] range at 0xe33c5f000, size 0x354 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c52e8, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c29b0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5810, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5838, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c2ad0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c58b0, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c58d8, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c2bf0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c53b0, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c53d8, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a3bf0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a2038, size 0x76 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a209a, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a3a70, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a3970, size 0x3a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x7ff933461410, size 0x12 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a4140, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a42c0, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a42e8, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a4610, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a4790, size 0x44 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a47b8, size 0x1c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a64e0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6660, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6688, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6880, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6a00, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6a28, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6c20, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6da0, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6dc8, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6fb0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a7130, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a7158, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aa120, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aa2a0, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aa2c8, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aa500, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ab230, size 0x3a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ab258, size 0x12 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6300, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ab980, size 0x9a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ab9fe, size 0x1c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a7390, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785acde0, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ace08, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a7600, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785acef0, size 0x3a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785acf18, size 0x12 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a7870, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae380, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae3a8, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad1d0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae510, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae538, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a7ae0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae6a0, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae6c8, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ab860, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae1a0, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae1c8, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad530, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae5b0, size 0x42 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae5d8, size 0x1a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad770, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae600, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae628, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad650, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae3d0, size 0x42 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae3f8, size 0x1a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad890, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aa9d0, size 0x50 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aa9f8, size 0x28 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad9b0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae4c0, size 0x3a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae4e8, size 0x12 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad2f0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9ef0, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9f18, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785adad0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aacd0, size 0x4e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aacf8, size 0x26 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785adbf0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9cc0, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9ce8, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785acf90, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b99f0, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9a18, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad0b0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c0950, size 0x4c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c0978, size 0x24 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad410, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ba300, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ba328, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1e70, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9b80, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9ba8, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c18d0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6ed0, size 0x9e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6f4e, size 0x20 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1f90, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5f40, size 0x3a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5f68, size 0x12 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c21d0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5270, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5298, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1210, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c50e0, size 0x46 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5108, size 0x1e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c2770, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5310, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5338, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c22f0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5db0, size 0x3a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5dd8, size 0x12 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1b10, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c54f0, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5518, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c2530, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5c20, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5c48, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1c30, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5b80, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5ba8, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1690, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5860, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5888, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c2650, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c59f0, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5a18, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c20b0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5d60, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5d88, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1570, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785d75f0, size 0xf6 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785d76ce, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c2410, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5950, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5978, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1450, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5770, size 0x3a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5798, size 0x12 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c17b0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5e00, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5e28, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1d50, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c52c0, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c52e8, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c29b0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5810, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5838, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c2ad0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c58b0, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c58d8, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c2bf0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c53b0, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c53d8, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a3a70, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a3970, size 0x3a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x7ff933461410, size 0x12 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a4610, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a4790, size 0x44 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a47b8, size 0x1c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a4140, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a42c0, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a42e8, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6c20, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6da0, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6dc8, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a64e0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6660, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6688, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6fb0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a7130, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a7158, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6880, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6a00, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6a28, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad890, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aa9d0, size 0x50 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aa9f8, size 0x28 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad650, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae3d0, size 0x42 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae3f8, size 0x1a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a6300, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ab980, size 0x9a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ab9fe, size 0x1c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a7390, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785acde0, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ace08, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad770, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae600, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae628, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad530, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae5b0, size 0x42 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae5d8, size 0x1a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aa500, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ab230, size 0x3a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ab258, size 0x12 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aa120, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aa2a0, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aa2c8, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad9b0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae4c0, size 0x3a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae4e8, size 0x12 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a7600, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785acef0, size 0x3a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785acf18, size 0x12 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad1d0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae510, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae538, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a7870, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae380, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae3a8, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785a7ae0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae6a0, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae6c8, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ab860, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae1a0, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ae1c8, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785adbf0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9cc0, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9ce8, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785acf90, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b99f0, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9a18, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad0b0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c0950, size 0x4c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c0978, size 0x24 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad410, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ba300, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ba328, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1e70, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9b80, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9ba8, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785adad0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aacd0, size 0x4e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785aacf8, size 0x26 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785ad2f0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9ef0, size 0x3e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785b9f18, size 0x16 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1f90, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5f40, size 0x3a fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5f68, size 0x12 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1d50, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c52c0, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c52e8, size 0x14 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c20b0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5d60, size 0x40 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5d88, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1570, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785d75f0, size 0xf6 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785d76ce, size 0x18 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c1210, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c50e0, size 0x46 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c5108, size 0x1e fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c2bf0, size 0x84 fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c53b0, size 0x3c fully unreadable
[0715/142925:ERROR:process_info.cc(608)] range at 0x1db785c53d8, size 0x14 fully unreadable
[0715/142925:ERROR:process_reader_win.cc(232)] ReadMemory at 0x1db785c2770 of 132 bytes failed: Solo se completó una parte de una solicitud ReadProcessMemory o WriteProcessMemory. (0x12B)
[0715/142925:ERROR:process_reader_win.cc(232)] ReadMemory at 0x1db785a1a20 of 1004 bytes failed: Solo se completó una parte de una solicitud ReadProcessMemory o WriteProcessMemory. (0x12B)
[0715/142925:ERROR:process_snapshot_win.cc(380)] ReadMemory RTL_USER_PROCESS_PARAMETERS
[0715/142925:ERROR:process_reader_win.cc(141)] SuspendThread: Acceso denegado. (0x5)
[0715/142925:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ff65a9d0000 of 64 bytes failed: Solo se completó una parte de una solicitud ReadProcessMemory o WriteProcessMemory. (0x12B)
[0715/142925:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
[0715/142925:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ff8f6960000 of 64 bytes failed: Solo se completó una parte de una solicitud ReadProcessMemory o WriteProcessMemory. (0x12B)
[0715/142925:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\51.0.2704.103\chrome_child.dll
[0715/142925:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ff926d702d0 of 40 bytes failed: Solo se completó una parte de una solicitud ReadProcessMemory o WriteProcessMemory. (0x12B)
[0715/142925:WARNING:pe_image_reader.cc(332)] could not read section 5 from C:\Windows\SYSTEM32\dwrite.dll
[0715/142925:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ff65aab1910 of 12 bytes failed: Solo se completó una parte de una solicitud ReadProcessMemory o WriteProcessMemory. (0x12B)
[0715/142925:WARNING:process_snapshot_win.cc(102)] ReadMemory ExceptionInformation failed
[0715/142925:WARNING:crash_report_exception_handler.cc(60)] ProcessSnapshotWin::InitializeException failed
[0715/142925:ERROR:scoped_process_suspend.cc(38)] NtResumeProcess, ntstatus=-1073741558
